x,y,z,xt,yt,zt
0.916561, -0.264601, 0.249295, , , 
0.878193, -0.348099, 0.128592, , , 
0.867411, -0.161290, -0.485937, , , 
0.903598, -0.259394, -0.407682, , , 
0.578014, -0.025322, -0.022162, , , 
1.521391, -0.520199, 0.121463, , , 
1.303138, -0.779762, -0.823867, , , 
0.590334, -0.053400, 0.056227, , , 
0.598520, 0.002756, -0.118396, , , 
0.834851, -0.565572, -0.307566, , , 
0.586218, 0.024366, -0.122116, , , 
1.196195, -0.449568, 0.057192, , , 
0.805865, -0.216871, 0.151838, , , 
0.590086, -0.019651, -0.254194, , , 
0.863190, -0.235913, 0.200178, , , 
0.959617, -0.184218, -0.308353, , , 
0.591408, 0.002707, -0.213368, , , 
1.238786, -0.549800, 0.314306, , , 
1.132260, -0.293431, 0.315967, , , 
0.911290, -0.261642, 0.244558, , , 
0.871618, -0.424979, 0.100003, , , 
1.126595, -0.126160, -0.755816, , , 
0.594580, -0.019734, -0.069518, , , 
0.760017, -0.181280, 0.106525, , , 
0.920466, -0.347720, 0.311584, , , 
0.804510, -0.361041, -0.332124, , , 
0.558654, 0.106849, -0.474187, , , 
0.875222, -0.354771, 0.119333, , , 
1.316537, -0.548389, 0.149377, , , 
0.665847, -0.042338, -0.233333, , , 
0.589090, 0.030944, -0.173599, , , 
0.600579, -0.034302, 0.102886, , , 
0.834737, -0.506167, 0.060975, , , 
0.704986, -0.403908, -0.320319, , , 
0.762532, -0.186040, -0.195905, , , 
0.843599, -0.517316, 0.067075, , , 
0.587843, -0.018556, -0.075358, , , 
1.332873, -0.908970, -0.816891, , , 
0.855303, -0.311408, -0.343240, , , 
0.892643, -0.222311, -0.799630, , , 
0.579078, 0.066292, -0.456206, , , 
0.790277, -0.318105, 0.111733, , , 
0.976336, -0.174501, -0.229420, , , 
1.099621, -0.467148, 0.249212, , , 
1.335911, -0.566588, 0.170550, , , 
0.842992, -0.301990, -0.344738, , , 
0.872572, -0.287472, 0.193328, , , 
0.745779, -0.547731, 0.274059, , , 
1.002097, -0.519871, 0.679344, , , 
0.857326, -0.525278, 0.078998, , , 
0.917519, 0.108034, -0.426175, , , 
1.072734, -0.206689, -0.426307, , , 
0.591981, 0.003993, -0.231181, , , 
0.649023, -0.105677, -0.190758, , , 
0.598796, 0.059558, -0.307168, , , 
1.268268, -0.814182, -0.932941, , , 
0.875569, -0.177499, -0.125958, , , 
0.609124, 0.047118, -0.208634, , , 
0.870089, -0.420503, 0.108889, , , 
0.581556, -0.198344, -0.165793, , , 
0.812830, -0.123028, -0.178412, , , 
0.626590, -0.013569, -0.328699, , , 
1.313218, -0.311721, -0.637212, , , 
0.584728, -0.043512, -0.011741, , , 
0.669628, -0.280325, -0.337110, , , 
0.680689, -0.328790, -0.266277, , , 
0.562324, -0.021392, -0.037446, , , 
0.903699, -0.162896, -0.305405, , , 
0.585969, -0.043304, -0.011322, , , 
0.877679, -0.428907, 0.104526, , , 
0.938035, -0.144624, -0.478324, , , 
0.573720, 0.068154, -0.348069, , , 
1.091725, -0.555709, 0.393987, , , 
0.773347, -0.304737, -0.184700, , , 
0.616295, -0.206353, -0.221855, , , 
0.726840, -0.199495, -0.457086, , , 
0.706977, -0.186695, -0.450890, , , 
0.897526, -0.123156, -0.420047, , , 
0.855835, -0.166642, -0.131387, , , 
0.731764, -0.380743, -0.267138, , , 
0.886599, -0.149558, -0.353829, , , 
0.599435, 0.063492, -0.267476, , , 
0.827611, -0.610494, 0.293507, , , 
0.840230, -0.449803, 0.181481, , , 
0.596345, 0.031539, -0.298773, , , 
0.584884, -0.029736, -0.012679, , , 
0.961247, -0.304397, -0.179386, , , 
0.870020, -0.366430, 0.286774, , , 
0.599443, 0.044362, -0.290035, , , 
0.874324, -0.100277, -0.476740, , , 
0.976393, -0.203199, -0.340804, , , 
1.023560, -0.346942, -0.391555, , , 
0.710689, -0.194275, -0.391458, , , 
0.854430, -0.520101, 0.079607, , , 
0.916319, -0.129212, -0.425397, , , 
0.948048, -0.148797, -0.360257, , , 
0.607620, -0.283795, 0.060173, , , 
0.652397, -0.230090, -0.401139, , , 
0.587321, -0.007039, 0.020738, , , 
0.381500, 0.057854, -0.264691, , , 
0.759099, -0.314912, -0.325880, , , 
1.198490, -0.196077, -0.474291, , , 
0.915048, -0.227360, -0.179563, , , 
0.810853, -0.411616, 0.191444, , , 
0.797375, -0.287929, 0.126855, , , 
0.589485, 0.063377, -0.309771, , , 
0.875146, -0.216248, -0.421046, , , 
0.775020, -0.196020, -0.200491, , , 
0.596943, 0.022567, -0.263109, , , 
0.592363, 0.033584, -0.338683, , , 
0.584134, -0.180272, -0.231578, , , 
0.587997, -0.138317, 0.237760, , , 
0.716629, -0.485341, 0.399780, , , 
0.849309, -0.336390, 0.171588, , , 
0.992531, -0.460220, 0.295453, , , 
0.604703, 0.024808, -0.298515, , , 
0.585823, -0.032397, -0.005890, , , 
0.942296, -0.203826, -0.224560, , , 
1.153218, -0.481533, 0.234677, , , 
0.943708, -0.227778, -0.418074, , , 
0.601132, 0.040481, -0.260264, , , 
0.895423, -0.268766, -0.375328, , , 
0.720221, -0.355693, -0.209905, , , 
1.217838, -0.529607, 0.275937, , , 
